track_name,artist_name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_popular
Shake It,Metro Station,0.618,0.955,-3.836,1,4,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,179947,True
Chinese New Year,SALES,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,160000,True
Baby I'm Yours,Breakbot,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,215507,True
The Git Up,Blanco Brown,0.847,0.678,-8.635,1,9,0.109,0.0669,0.0,0.274,0.811,97.984,200594,True
Say Hey (I Love You),Michael Franti & Spearhead,0.738,0.983,-4.374,0,5,0.0855,0.038,5.93e-06,0.183,0.957,92.998,235760,True
Falling for U,Peachy!,0.516,0.358,-12.018,0,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,124000,True
Shooting Stars,Bag Raiders,0.649,0.716,-6.232,1,11,0.0445,0.0879,0.03,0.0824,0.503,124.968,235813,True
fast,Sueco,0.877,0.503,-10.269,0,7,0.22,0.164,0.0132,0.102,0.529,100.069,144000,True
On A Roll,Ashley O,0.736,0.81,-6.354,1,5,0.0906,0.077,0.0,0.0523,0.387,125.011,154448,True
Good Girls Bad Guys,Falling In Reverse,0.474,0.948,-2.592,1,3,0.122,0.0223,0.0,0.43,0.611,146.46,195373,True
Just Did a Bad Thing,Bill Wurtz,0.754,0.526,-12.96,1,1,0.0435,0.00261,0.466,0.113,0.716,117.051,167180,True
Wait a Minute!,WILLOW,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,True
"Spooky, Scary Skeletons",Andrew Gold,0.806,0.447,-10.181,1,7,0.0461,0.27,3.7e-06,0.335,0.914,77.033,127627,True
"Livin' in the Sunlight, Lovin' in the Moon Light",Tiny Tim,0.603,0.276,-19.238,1,4,0.0871,0.911,0.00237,0.484,0.86,99.561,125933,True
Tell Me Something I Don't Know - Soundtrack,Selena Gomez,0.611,0.936,-3.697,0,7,0.11,0.0309,0.0,0.12,0.697,144.901,201427,True
STUPID (feat. Yung Baby Tate),Ashnikko,0.772,0.637,-6.881,1,2,0.114,0.00459,0.0,0.0778,0.54,149.906,167317,True
Beef FloMix,Flo Milli,0.857,0.575,-8.36,1,7,0.221,0.239,0.0,0.293,0.901,116.993,147692,True
Prom Queen,Beach Bunny,0.528,0.797,-7.487,1,4,0.0485,0.000391,0.011,0.14,0.751,143.785,136562,True
Don't Lose Ur Head,SIX,0.859,0.605,-7.635,0,7,0.357,0.251,0.0,0.132,0.722,82.91,245303,True
"Legs (From ""RuPaul's Drag Race 8"")",Lucian Piane,0.9,0.72,-5.486,0,5,0.232,0.00502,6.26e-06,0.543,0.749,122.994,106364,True
Woah (feat. D3Mstreet),KRYPTO9095,0.888,0.522,-8.936,1,1,0.43,0.00739,0.0,0.0452,0.623,144.011,123373,True
Steppin',Supa Dupa Humble,0.85,0.58,-4.502,1,1,0.104,0.000404,0.0821,0.0714,0.12,160.055,145253,True
Hungry Hippo,Tierra Whack,0.893,0.61,-5.691,0,4,0.0488,0.0227,0.00744,0.102,0.778,136.64,60000,True
I'm Sorry,Swell,0.944,0.541,-9.61,0,6,0.166,0.0879,0.000119,0.033,0.724,134.942,157333,True
Vibin',Kesh Kesh,0.686,0.805,-6.816,0,11,0.154,0.00478,1.09e-06,0.0887,0.289,130.981,154567,True
Fly Me To The Moon (In Other Words),Frank Sinatra,0.668,0.26,-14.256,1,7,0.0523,0.453,0.0,0.0621,0.368,119.416,147000,True
Yellow Hearts,Ant Saunders,0.866,0.399,-10.938,1,7,0.0745,0.117,0.0,0.0689,0.713,129.047,223256,True
Old Town Road,Lil Nas X,0.907,0.53,-6.112,1,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,True
I Don't Mind (feat. Juicy J),Usher,0.87,0.464,-8.337,1,4,0.178,0.205,0.0,0.0902,0.457,112.974,251989,True
ROXANNE,Arizona Zervas,0.621,0.601,-5.616,0,6,0.148,0.0522,0.0,0.46,0.457,116.735,163636,True
American Boy,Estelle,0.727,0.729,-2.99,1,0,0.326,0.171,0.0,0.07,0.512,117.932,284733,True
Beggin (original version),Madcon,0.715,0.8,-5.144,0,4,0.057,0.0271,0.0,0.0648,0.445,129.023,216147,True
Put Your Head on My Shoulder,Paul Anka,0.549,0.433,-8.526,1,7,0.0327,0.906,0.0108,0.0774,0.486,116.068,155080,True
prom dress,mxmtoon,0.56,0.674,-6.048,1,10,0.0446,0.698,0.0,0.123,0.421,119.942,197933,True
Criminal,Britney Spears,0.696,0.734,-5.294,1,7,0.0298,0.0485,0.0,0.183,0.711,107.987,225080,True
Runway,Stunna Girl,0.638,0.912,-3.3,1,1,0.474,0.0155,0.0,0.234,0.725,190.178,152464,True
It's The Hard-Knock Life,Quvenzhané Wallis,0.738,0.841,-5.352,1,9,0.0924,0.0452,0.0105,0.03,0.836,163.913,130467,True
Faucet Failure,Ski Mask The Slump God,0.935,0.552,-9.373,0,10,0.335,0.111,0.0,0.0952,0.615,99.993,145627,True
Buttercup,Jack Stauber,0.705,0.373,-9.066,1,7,0.0384,0.723,0.81,0.289,0.551,120.046,208026,True
Hey Julie! (feat. Lil Yachty),KYLE,0.803,0.499,-5.932,1,11,0.306,0.0363,3.46e-06,0.129,0.749,161.042,156637,True
Uno,Ambjaay,0.978,0.477,-8.159,1,8,0.155,0.000143,0.0,0.133,0.196,110.002,109091,True
Tunnel of Love,ilyTOMMY,0.683,0.636,-12.096,0,7,0.0978,0.302,0.498,0.0972,0.615,160.012,142365,True
Walk Man,Tiny Meat Gang,0.928,0.696,-4.972,0,4,0.0866,0.331,0.000119,0.121,0.396,94.994,165938,True
CRACKHEAD,iLOVEFRiDAY,0.746,0.419,-9.083,1,5,0.478,0.0828,0.00457,0.561,0.421,145.059,43427,True
Fake ID,Riton,0.746,0.862,-6.11,1,8,0.0776,0.21,0.0363,0.225,0.604,122.011,246970,True
Wasabi,Little Mix,0.847,0.656,-4.976,1,2,0.115,0.00451,0.000854,0.143,0.234,114.001,154787,True
ALL IN,ZaeHD & CEO,0.895,0.394,-8.8,1,1,0.407,0.000686,0.0,0.239,0.491,141.008,206733,True
Lalala,Y2K,0.843,0.39,-7.899,1,2,0.0846,0.178,0.0,0.137,0.495,129.972,160627,True
Womp Womp,Valee,0.877,0.558,-4.896,1,1,0.342,0.066,0.0,0.0745,0.493,157.027,226533,True
Shop,Toby Fox,0.696,0.301,-12.647,1,8,0.032,0.984,0.624,0.17,0.848,154.929,50274,True
How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),DJ Scheme,0.949,0.425,-7.393,1,5,0.224,0.0295,0.0,0.106,0.621,124.927,135023,True
Ghost Duet,Louie Zong,0.707,0.234,-16.523,1,7,0.0864,0.96,0.861,0.124,0.611,78.036,60004,True
Boys,Lizzo,0.892,0.588,-4.287,0,1,0.11,0.00319,0.000162,0.0498,0.753,120.042,172630,True
Mia Khalifa,iLOVEFRiDAY,0.812,0.525,-8.798,1,1,0.124,0.255,0.0,0.325,0.564,145.016,177133,True
Buff Baby,tobi lou,0.734,0.765,-6.047,1,5,0.0571,0.243,0.0,0.101,0.512,156.04,215385,True
Marlboro Nights,Lonely God,0.466,0.823,-6.635,1,2,0.311,0.00237,0.000321,0.332,0.782,175.797,68523,True
